Bdist3	braDis3	Brachypodium distachyon Bd21 (JGI v3.0)	eukaryota	Streptophyta
Mtrun4	medTru4	Medicago truncatula (Mt4.0v1)	eukaryota	Streptophyta
Graim2	gosRai2	Gossypium raimondii (Cotton v2)	eukaryota	Streptophyta
Ptric3	popTri3	Populus trichocarpa (JGI v3.0)	eukaryota	Streptophyta
Sbico3	sorBic3	Sorghum bicolor (Version 3.1)	eukaryota	Streptophyta
Oarie1	oviAri3	Ovis aries (sheep) (Feb 2010)	eukaryota	Mammalia
Zmays6	zeaMay6	Zea mays B73 (Version AGPv3)	eukaryota	Streptophyta
Gmax2	glyMax2	Glycine max (soybean) (Wm82.a2)	eukaryota	Streptophyta
Rnorv6	rn6	Rattus norvegicus (Rat Jul. 2014 RGSC 6.0/rn6)	eukaryota	Mammalia
Vpaco2	vicPac2	Vicugna pacos (Alpaca Mar. 2013 Vicugna_pacos-2.0.1/vicPac2)	eukaryota	Mammalia
Osati7	orySat7	Oryza sativa Japonica Group (Japanese rice IRGSP-1.0)	eukaryota	Streptophyta
danRer10	danRer10	Danio rerio (Zebrafish Sep. 2014 GRCz10/danRer10)	eukaryota	Vertebrata
proCap1	proCap1	Procavia capensis (Rock hyrax Jul. 2008 Broad/proCap1)	eukaryota	Mammalia
pteVam1	pteVam1	Pteropus vampyrus (Megabat Jul. 2008 Broad/pteVam1)	eukaryota	Mammalia
manEsc6	manEsc6	Manihot esculenta (Cassava v6)	eukaryota	Spermatophyta
Hglab2	hetGla2	Heterocephalus glaber (Naked mole-rat Jan. 2012 Broad HetGla_female_1.0/hetGla2)	eukaryota	Mammalia	
Hsapi19	hg19	Homo sapiens (hg19 - NCBI Build 37.1 Feb 2009)	eukaryota	Mammalia	
Hsapi38	hg38	Homo sapiens (hg38 - GRCh38 Dec 2013)	eukaryota	Mammalia	
Lafri3	loxAfr3	Loxodonta africana (elephant) (Broad/July 2009)	eukaryota	Mammalia	
Mmula3	rheMac3	Macaca mulatta (Rhesus Oct. 2010 BGI CR_1.0/rheMac3)	eukaryota	Mammalia	
Meuge2	macEug2	Macropus eugenii (Wallaby Sep. 2009 TWGS Meug_1.1/macEug2)	eukaryota	Mammalia	
Mmuri1	micMur1	Microcebus murinus (Mouse lemur) (Jun 2003)	eukaryota	Mammalia	
Mdome5	monDom5	Monodelphis domestica (opossum) (Broad Oct 2006)	eukaryota	Mammalia	
Mmusc10	mm10	Mus musculus (mm10 Dec 2011)	eukaryota	Mammalia	
Mmusc	mm9	Mus musculus (mm9 July 2007)	eukaryota	Mammalia	
Mputo1	musFur1	Mustela putorius furo (Ferret  Apr. 2011 MusPutFur1.0/musFur1)	eukaryota	Mammalia	
Mluci2	myoLuc2	Myotis lucifugus (Microbat Jul. 2010 Broad Institute Myoluc2.0/myoLuc2)	eukaryota	Mammalia	
Nleuc3	nomLeu3	Nomascus leucogenys (Gibbon Oct. 2012 GGSC Nleu3.0/nomLeu3)	eukaryota	Mammalia	
Oprin3	ochPri3	Ochotona princeps (Pika May 2012 OchPri3.0/ochPri3)	eukaryota	Mammalia	
Oanat1	ornAna1	Ornithorhynchus anatinus (platypus) (WUGSC 5.0.1 Mar 2007)	eukaryota	Mammalia	
Ocuni2	oryCun2	Oryctolagus cuniculus (rabbit) (Broad Apr 2009)	eukaryota	Mammalia	
Ogarn3	otoGar3	Otolemur garnettii (Bushbaby Mar. 2011 Broad/otoGar3)	eukaryota	Mammalia	
Oarie1	oviAri1	Ovis aries (sheep) (Feb 2010)	eukaryota	Mammalia	
Ptrog4	panTro4	Pan troglodytes (Chimp Feb. 2011 CSAC 2.1.4/panTro4)	eukaryota	Mammalia	
Panub2	papAnu2	Papio anubis (Baboon Mar. 2012 Baylor Panu_2.0/papAnu2)	eukaryota	Mammalia	
Phama1		Papio hamadryas (baboon) (Nov 2008)	eukaryota	Mammalia	
Ppygm2	ponAbe2	Pongo pygmaeus abelii (Orangutan July 2007 WUGSC 2.0.2/ponAbe2)	eukaryota	Mammalia	
Rnorv5	rn5	Rattus norvegicus (rn5 Mar 2012)	eukaryota	Mammalia	
Sboli1	saiBol1	Saimiri boliviensis (Squirrel monkey Oct. 2011 Broad/saiBol1)	eukaryota	Mammalia	
Sharr1	sarHar1	Sarcophilus harrisii (Tasmanian devil Feb. 2011 WTSI Devil_ref v7.0/sarHar1)	eukaryota	Mammalia	
Saran2	sorAra2	Sorex araneus (Shrew Aug. 2008 Broad/sorAra2)	eukaryota	Mammalia	
Strid2	speTri2	Spermophilus tridecemlineatus (Squirrel Nov. 2011 Broad/speTri2)	eukaryota	Mammalia	
Sscro3	susScr3	Sus scrofa (Pig Aug. 2011 SGSC Sscrofa10.2/susScr3)	eukaryota	Mammalia	
Tsyri2	tarSyr2	Tarsius syrichta (Tarsier Sep. 2013 Tarsius_syrichta-2.0.1/tarSyr2)	eukaryota	Mammalia	
Tmana1	triMan1	Trichechus manatus latirostris (Manatee Oct. 2011 Broad v1.0/triMan1)	eukaryota	Mammalia	
Ttrun2	turTru2	Tursiops truncatus (Dolphin Oct. 2011 Baylor Ttru_1.4/turTru2)	eukaryota	Mammalia	
Cbren2	caePb2	Caenorhabditis brenneri (WUGSC 6.0.1 Feb 2008)	eukaryota	Nematoda	
Cbrig3	cb3	Caenorhabditis briggsae (C. briggsae Jan. 2007 WUGSC 1.0/cb3)	eukaryota	Nematoda	
Celeg_WS220	ce10	Caenorhabditis elegans (WS220 Oct 2010)	eukaryota	Nematoda	
Cjapo1	caeJap1	Caenorhabditis japonica (WUGSC 3.0.2 Mar 2008)	eukaryota	Nematoda	
Crema3	caeRem3	Caenorhabditis remanei (WUGSC 15.0.1 May 2007)	eukaryota	Nematoda	
Ppaci1	priPac1	Pristionchus pacificus (WUGSC 5.0 Feb 2007)	eukaryota	Nematoda	
Athal10	araTha1	Arabidopsis thaliana (TAIR10 Feb 2011)	eukaryota	Spermatophyta	
Bdist		Brachypodium distachyon (JGI v1.0 8X)	eukaryota	Spermatophyta	
Gmax2		Glycine max (soybean) (Wm82.a2)	eukaryota	Spermatophyta	
Mtrun		Medicago truncatula (March 2009 Version 3.0)	eukaryota	Spermatophyta	
Osati		Oryza sativa	eukaryota	Spermatophyta	
Ptric		Populus trichocarpa (Jan 2010 Version 2.0)	eukaryota	Spermatophyta	
Sbico		Sorghum bicolor (Version 1.0)	eukaryota	Spermatophyta	
Vvini	vitVin1	Vitis vinifera (Grapevine 12X)	eukaryota	Spermatophyta	
Zmays5		Zea mays (Version 5b.60)	eukaryota	Spermatophyta	
Acaro2	anoCar2	Anolis carolinensis (lizard) (Broad AnoCar2.0 May 2010)	eukaryota	Vertebrata	
Cmili1	calMil1	Callorhinchus milii (Elephant shark Dec. 2013 Callorhinchus_milii-6.1.3/calMil1)	eukaryota	Vertebrata	
Cpict1	chrPic1	Chrysemys picta bellii (Painted turtle Dec. 2011 v3.0.1/chrPic1)	eukaryota	Vertebrata	
Dreri_v8	danRer6	Danio rerio (Zebrafish) (Zv8 Apr 2009)	eukaryota	Vertebrata	
Gmorh1	gadMor1	Gadus morhua (Atlantic cod May 2010 Genofisk GadMor_May2010/gadMor1)	eukaryota	Vertebrata	
Ggall4	galGal4	Gallus gallus (galGal4 Nov 2011)	eukaryota	Vertebrata	
Gacul1	gasAcu1	Gasterosteus aculeatus (stickleback) (Broad 1.0 Feb 2006)	eukaryota	Vertebrata	
Gfort1	geoFor1	Geospiza fortis (Medium ground finch Apr. 2012 GeoFor_1.0/geoFor1)	eukaryota	Vertebrata	
Lchal1	latCha1	Latimeria chalumnae (Coelacanth Aug. 2011 Broad/latCha1)	eukaryota	Vertebrata	
Mgall1	melGal1	Meleagris gallopavo (turkey) (TGC Turkey_2.01 Dec 2009)	eukaryota	Vertebrata	
Mundu1	melUnd1	Melopsittacus undulatus (Budgerigar Sep. 2011 WUSTL v6.3/melUnd1)	eukaryota	Vertebrata	
Onilo2	oreNil2	Oreochromis niloticus (Nile tilapia Jan. 2011 Broad oreNil1.1/oreNil2)	eukaryota	Vertebrata	
Olati2	oryLat2	Oryzias latipes (Medaka) (Oct 2005)	eukaryota	Vertebrata	
Pmari2	petMar2	Petromyzon marinus (Lamprey Sep. 2010 WUGSC 7.0/petMar2)	eukaryota	Vertebrata	
Tgutt2	taeGut2	Taeniopygia guttata (Zebra finch Feb. 2013 WashU taeGut324/taeGut2)	eukaryota	Vertebrata	
Trubr3	fr3	Takifugu rubripes (Fugu Oct. 2011 FUGU5/fr3)	eukaryota	Vertebrata	
Tnigr2	tetNig2	Tetraodon nigroviridis (tetraodon) (Genoscope 8.0 Mar 2007)	eukaryota	Vertebrata	
Xtrop3	xenTro3	Xenopus tropicalis (frog) (JGI 4.2 Nov 2009)	eukaryota	Vertebrata	
Acid_hosp_W1	acidHosp1	Acidianus hospitalis W1	archaea	Crenarchaeota	Thermoprotei
Acid_sacc_345_15	acidSacc1	Acidilobus saccharovorans 345-15	archaea	Crenarchaeota	Thermoprotei
Aero_pern_K1	aerPer1	Aeropyrum pernix K1	archaea	Crenarchaeota	Thermoprotei
Cald_maqu_IC_167	caldMaqu1	Caldivirga maquilingensis IC-167	archaea	Crenarchaeota	Thermoprotei
Desu_kamc_1221n	desuKamc1	Desulfurococcus kamchatkensis 1221n	archaea	Crenarchaeota	Thermoprotei
Desu_muco_DSM_2162	desuMuco1	Desulfurococcus mucosus DSM 2162	archaea	Crenarchaeota	Thermoprotei
Hype_buty_DSM_5456	hypeButy1	Hyperthermus butylicus DSM 5456	archaea	Crenarchaeota	Thermoprotei
Igni_hosp_KIN4_I	igniHosp1	Ignicoccus hospitalis KIN4/I	archaea	Crenarchaeota	Thermoprotei
Igni_aggr_DSM_17230	igniAggr1	Ignisphaera aggregans DSM 17230	archaea	Crenarchaeota	Thermoprotei
Meta_cupr_Ar_4	metaCupr1	Metallosphaera cuprina Ar-4	archaea	Crenarchaeota	Thermoprotei
Meta_sedu_DSM_5348	metaSedu	Metallosphaera sedula DSM 5348	archaea	Crenarchaeota	Thermoprotei
Pyro_aero_IM2	pyrAer1	Pyrobaculum aerophilum str. IM2	archaea	Crenarchaeota	Thermoprotei
Pyro_arse_DSM_13514	pyroArse1	Pyrobaculum arsenaticum DSM 13514	archaea	Crenarchaeota	Thermoprotei
Pyro_cali_JCM_11548	pyroCali1	Pyrobaculum calidifontis JCM 11548	archaea	Crenarchaeota	Thermoprotei
Pyro_isla_DSM_4184	pyroIsla1	Pyrobaculum islandicum DSM 4184	archaea	Crenarchaeota	Thermoprotei
Pyro_ogun_TE7	pyroOgun2	Pyrobaculum oguniense TE7	archaea	Crenarchaeota	Thermoprotei
Pyro_1860	pyro1860_1	Pyrobaculum sp. 1860	archaea	Crenarchaeota	Thermoprotei
Stap_hell_DSM_12710	stapHell1	Staphylothermus hellenicus DSM 12710	archaea	Crenarchaeota	Thermoprotei
Stap_mari_F1	stapMari1	Staphylothermus marinus F1	archaea	Crenarchaeota	Thermoprotei
Sulf_acid_DSM_639	sulfAcid1	Sulfolobus acidocaldarius DSM 639	archaea	Crenarchaeota	Thermoprotei
Sulf_isla_L_D_8_5	sulfIsla_L_D_8_5	Sulfolobus islandicus L.D.8.5	archaea	Crenarchaeota	Thermoprotei
Sulf_isla_L_S_2_15	sulfIsla_L_S_2_15	Sulfolobus islandicus L.S.2.15	archaea	Crenarchaeota	Thermoprotei
Sulf_isla_M_14_25	sulfIsla_M_14_25	Sulfolobus islandicus M.14.25	archaea	Crenarchaeota	Thermoprotei
Sulf_isla_M_16_27	sulfIsla_M_16_27	Sulfolobus islandicus M.16.27	archaea	Crenarchaeota	Thermoprotei
Sulf_isla_M_16_4	sulfIsla_M_16_4	Sulfolobus islandicus M.16.4	archaea	Crenarchaeota	Thermoprotei
Sulf_isla_REY15A	sulfIsla_REY15A	Sulfolobus islandicus REY15A	archaea	Crenarchaeota	Thermoprotei
Sulf_isla_Y_G_57_14	sulfIsla_Y_G_57_14	Sulfolobus islandicus Y.G.57.14	archaea	Crenarchaeota	Thermoprotei
Sulf_isla_Y_N_15_51	sulfIsla_Y_N_15_51	Sulfolobus islandicus Y.N.15.51	archaea	Crenarchaeota	Thermoprotei
Sulf_solf_98_2	sulfSolf_98_2	Sulfolobus solfataricus 98/2	archaea	Crenarchaeota	Thermoprotei
Sulf_solf_P2	sulSol1	Sulfolobus solfataricus P2	archaea	Crenarchaeota	Thermoprotei
Sulf_toko_7	sulfToko1	Sulfolobus tokodaii str. 7	archaea	Crenarchaeota	Thermoprotei
Ther_pend_Hrk_5	therPend1	Thermofilum pendens Hrk 5	archaea	Crenarchaeota	Thermoprotei
Pyro_neut_V24Sta	therNeut1	Thermoproteus neutrophilus V24Sta	archaea	Crenarchaeota	Thermoprotei
Ther_tena_Kra_1	therTena2	Thermoproteus tenax Kra 1	archaea	Crenarchaeota	Thermoprotei
Ther_uzon_768_20	therUzon1	Thermoproteus uzoniensis 768-20	archaea	Crenarchaeota	Thermoprotei
Ther_aggr_DSM_11486	therAggr1	Thermosphaera aggregans DSM 11486	archaea	Crenarchaeota	Thermoprotei
Vulc_dist_DSM_14429	vulcDist1	Vulcanisaeta distributa DSM 14429	archaea	Crenarchaeota	Thermoprotei
Vulc_mout_768_28	vulcMout1	Vulcanisaeta moutnovskia 768-28	archaea	Crenarchaeota	Thermoprotei
Acid_boon_T469	acidBoon1	Aciduliprofundum boonei T469	archaea	Euryarchaeota	Aciduliprofundum
Acid_MAR08_339	acidSp_MAR08_339	Aciduliprofundum sp. MAR08-339	archaea	Euryarchaeota	Aciduliprofundum
Arch_fulg_DSM_4304	archFulg1	Archaeoglobus fulgidus DSM 4304	archaea	Euryarchaeota	Archaeoglobi
Arch_fulg_DSM_8774	archFulg_DSM8774	Archaeoglobus fulgidus DSM 8774	archaea	Euryarchaeota	Archaeoglobi
Arch_prof_DSM_5631	archProf1	Archaeoglobus profundus DSM 5631	archaea	Euryarchaeota	Archaeoglobi
Arch_sulf_PM70_1	archSulf_PM70_1	Archaeoglobus sulfaticallidus PM70-1	archaea	Euryarchaeota	Archaeoglobi
Arch_vene_SNP6	archVene1	Archaeoglobus veneficus SNP6	archaea	Euryarchaeota	Archaeoglobi
Ferr_plac_DSM_10642	ferrPlac1	Ferroglobus placidus DSM 10642	archaea	Euryarchaeota	Archaeoglobi
Geog_acet_SBH6	geogAcet_SBH6	Geoglobus acetivorans SBH6	archaea	Euryarchaeota	Archaeoglobi
Hala_jeot_B3	halaJeot1	Halalkalicoccus jeotgali B3	archaea	Euryarchaeota	Halobacteria
Halo_hisp_ATCC_33960_CGMCC_1_2049	haloHisp1	Haloarcula hispanica ATCC 33960 CGMCC 1.2049	archaea	Euryarchaeota	Halobacteria
Halo_hisp_N601	haloHisp_N601	Haloarcula hispanica N601	archaea	Euryarchaeota	Halobacteria
Halo_mari_ATCC_43049	halMar1	Haloarcula marismortui ATCC 43049	archaea	Euryarchaeota	Halobacteria
Halo_CBA1115	haloSp_CBA1115	Haloarcula sp. CBA1115	archaea	Euryarchaeota	Halobacteria
Halo_sali_R1_DSM_671	haloSali1	Halobacterium salinarum R1 DSM 671	archaea	Euryarchaeota	Halobacteria
Halo_DL1	haloSp_DL1	Halobacterium sp. DL1	archaea	Euryarchaeota	Halobacteria
Halo_NRC_1	haloHalo1	Halobacterium sp. NRC-1	archaea	Euryarchaeota	Halobacteria
Halo_medi_ATCC_33500	haloMedi_ATCC33500	Haloferax mediterranei ATCC 33500	archaea	Euryarchaeota	Halobacteria
Halo_medi_ATCC_33500_CGMCC_1_2087	haloMedi_ATCC33500_CGMCC_1_2087	Haloferax mediterranei ATCC 33500 CGMCC 1.2087	archaea	Euryarchaeota	Halobacteria
Halo_volc_DS2	haloVolc1	Haloferax volcanii DS2	archaea	Euryarchaeota	Halobacteria
Halo_bori_DSM_11551_PR_3	haloBori1	Halogeometricum borinquense DSM 11551 PR 3	archaea	Euryarchaeota	Halobacteria
Halo_muko_DSM_12286	haloMuko1	Halomicrobium mukohataei DSM 12286	archaea	Euryarchaeota	Halobacteria
